a,s,d,f,g,h,j,j,t,y
1,276,37,10.65,0.773,1.7,75.4,60,0.816326531,3.098604
1,276,37,10.65,0.773,1.7,75.4,60,4.557823129,0.9601347
1,276,37,10.65,0.773,1.7,75.4,60,6.12244898,0.7995154
1,276,37,10.65,0.773,1.7,75.4,60,7.278911565,0.6340451
1,276,37,10.65,0.773,1.7,75.4,60,9.523809524,0.5215723
1,276,37,10.65,0.773,1.7,75.4,60,12.58503401,0.461648
1,276,37,10.65,0.773,1.7,75.4,60,14.48979592,0.4086085
1,276,37,10.65,0.773,1.7,75.4,60,19.11564626,0.3529419
1,276,37,10.65,0.773,1.7,75.4,60,25.37414966,0.2938988
1,276,37,10.65,0.773,1.7,75.4,60,28.23129252,0.2868119
1,276,37,10.65,0.773,1.7,75.4,60,34.89795918,0.2765006
1,276,37,10.65,0.773,1.7,75.4,60,39.18367347,0.2633266
1,276,37,10.65,0.773,1.7,75.4,60,43.87755102,0.2698332
1,276,37,10.65,0.773,1.7,75.4,60,48.7755102,0.2633266
1,276,37,10.65,0.773,1.7,75.4,60,51.08843537,0.2569768
1,276,37,10.65,0.773,1.7,75.4,60,55.51020408,0.2698332
1,276,37,10.65,0.773,1.7,75.4,60,59.52380952,0.2938988
1,276,37,10.65,0.773,1.7,75.4,60,62.65306122,0.3240416
1,276,37,10.65,0.773,1.7,75.4,60,67.75510204,0.3661038
1,276,37,10.65,0.773,1.7,75.4,60,73.40136054,0.403652
1,276,37,10.65,0.773,1.7,75.4,60,77.4829932,0.473055
1,276,37,10.65,0.773,1.7,75.4,60,79.86394558,0.5152454
1,276,37,10.65,0.773,1.7,75.4,60,1.768707483,2.0462282
1,276,37,10.65,0.773,1.7,75.4,40,0.74829932,2.3118391
1,276,37,10.65,0.773,1.7,75.4,40,1.768707483,1.6030497
1,276,37,10.65,0.773,1.7,75.4,40,2.925170068,1.1815121
1,276,37,10.65,0.773,1.7,75.4,40,4.421768707,0.789817
1,276,37,10.65,0.773,1.7,75.4,40,6.12244898,0.5750655
1,276,37,10.65,0.773,1.7,75.4,40,7.210884354,0.502821
1,276,37,10.65,0.773,1.7,75.4,40,9.455782313,0.3987555
1,276,37,10.65,0.773,1.7,75.4,40,12.58503401,0.3123918
1,276,37,10.65,0.773,1.7,75.4,40,14.55782313,0.2765006
1,276,37,10.65,0.773,1.7,75.4,40,19.18367347,0.2330726
1,276,37,10.65,0.773,1.7,75.4,40,25.30612245,0.20132
1,276,37,10.65,0.773,1.7,75.4,40,28.23129252,0.20132
1,276,37,10.65,0.773,1.7,75.4,40,34.82993197,0.17819
1,276,37,10.65,0.773,1.7,75.4,40,39.18367347,0.1760285
1,276,37,10.65,0.773,1.7,75.4,40,43.87755102,0.1717839
1,276,37,10.65,0.773,1.7,75.4,40,48.70748299,0.1717839
1,276,37,10.65,0.773,1.7,75.4,40,50.95238095,0.1738932
1,276,37,10.65,0.773,1.7,75.4,40,55.51020408,0.1803781
1,276,37,10.65,0.773,1.7,75.4,40,59.52380952,0.191728
1,276,37,10.65,0.773,1.7,75.4,40,62.58503401,0.2088276
1,276,37,10.65,0.773,1.7,75.4,40,67.75510204,0.2417643
1,276,37,10.65,0.773,1.7,75.4,40,73.40136054,0.2903338
1,276,37,10.65,0.773,1.7,75.4,20,0.884353741,1.5454179
1,276,37,10.65,0.773,1.7,75.4,20,1.904761905,1.1530216
1,276,37,10.65,0.773,1.7,75.4,20,4.62585034,0.673941
1,276,37,10.65,0.773,1.7,75.4,20,6.258503401,0.53446
1,276,37,10.65,0.773,1.7,75.4,20,7.346938776,0.461648
1,276,37,10.65,0.773,1.7,75.4,20,9.659863946,0.3320484
1,276,37,10.65,0.773,1.7,75.4,20,12.72108844,0.2569768
1,276,37,10.65,0.773,1.7,75.4,20,14.62585034,0.2302453
1,276,37,10.65,0.773,1.7,75.4,20,19.31972789,0.1697001
1,276,37,10.65,0.773,1.7,75.4,20,25.51020408,0.1345784
1,276,37,10.65,0.773,1.7,75.4,20,28.43537415,0.1266116
1,276,37,10.65,0.773,1.7,75.4,20,34.96598639,0.1067256
1,276,37,10.65,0.773,1.7,75.4,20,39.3877551,0.1016406
1,276,37,10.65,0.773,1.7,75.4,20,44.01360544,0.093317837
1,276,37,10.65,0.773,1.7,75.4,20,48.84353741,0.093317837
1,276,37,10.65,0.773,1.7,75.4,20,51.15646259,0.091067614
1,276,37,10.65,0.773,1.7,75.4,20,55.6462585,0.091067614
1,276,37,10.65,0.773,1.7,75.4,20,59.72789116,0.087793608
1,276,37,10.65,0.773,1.7,75.4,20,62.78911565,0.086728642
1,276,37,10.65,0.773,1.7,75.4,20,65.03401361,0.091067614
1,276,37,10.65,0.773,1.7,75.4,20,67.95918367,0.096797853
1,276,37,10.65,0.773,1.7,75.4,20,70,0.1028887
1,276,37,10.65,0.773,1.7,75.4,20,73.60544218,0.1235585
1,276,37,10.65,0.773,1.7,75.4,20,77.68707483,0.182593
0.7,474,27,7.7,0.732,2,48,22,17.20164609,0.1989672
0.7,474,27,7.7,0.732,2,48,22,19.09465021,0.1935931
