iter	Passed	Remaining
0	1	372
1	3	403
2	4	339
3	5	323
4	6	302
5	8	318
6	10	329
7	11	332
8	13	339
9	14	320
10	15	327
11	17	332
12	19	332
13	21	336
14	23	339
15	24	341
16	26	339
17	28	342
18	30	349
19	32	348
20	34	348
21	35	348
22	37	345
23	38	337
24	40	338
25	41	338
26	43	337
27	45	337
28	47	336
29	48	333
30	50	333
31	52	336
32	54	337
33	56	336
34	58	335
35	60	334
36	61	333
37	63	331
38	65	330
39	67	329
40	69	328
41	70	326
42	72	325
43	74	323
44	75	320
45	77	319
46	78	317
47	80	315
48	82	313
49	83	311
50	85	309
51	86	307
52	88	306
53	90	304
54	92	302
55	93	300
56	95	298
57	96	295
58	98	294
59	99	290
60	100	287
61	101	284
62	102	282
63	103	279
64	104	276
65	106	273
66	107	269
67	107	266
68	108	262
69	109	259
70	110	256
71	110	252
72	111	249
73	112	246
74	113	243
75	114	240
76	114	236
77	115	233
78	116	230
79	116	227
80	117	224
81	118	221
82	118	218
83	119	216
84	120	213
85	120	210
86	121	207
87	121	205
88	122	202
89	123	199
90	123	196
91	124	194
92	124	191
93	125	189
94	125	186
95	126	184
96	126	181
97	127	178
98	127	176
99	128	174
100	128	171
101	129	169
102	129	167
103	130	165
104	130	163
105	131	160
106	131	158
107	132	156
108	132	154
109	132	152
110	133	150
111	133	148
112	134	146
113	134	144
114	135	142
115	135	140
116	136	138
117	136	136
118	136	134
119	137	132
120	137	131
121	138	129
122	138	127
123	139	125
124	139	123
125	139	122
126	140	120
127	140	118
128	141	117
129	141	115
130	141	113
131	142	111
132	142	110
133	142	108
134	143	107
135	143	105
136	144	104
137	144	102
138	144	101
139	145	99
140	145	98
141	146	96
142	146	95
143	146	93
144	147	92
145	147	91
146	148	89
147	148	88
148	148	86
149	149	85
150	149	84
151	149	82
152	150	81
153	150	80
154	151	79
155	151	77
156	151	76
157	152	75
158	152	73
159	153	72
160	153	71
161	153	70
162	154	69
163	154	67
164	155	66
165	155	65
166	156	64
167	156	63
168	156	62
169	157	61
170	157	59
171	158	58
172	158	57
173	158	56
174	159	55
175	159	54
176	159	53
177	160	52
178	160	51
179	161	50
180	161	49
181	161	48
182	162	47
183	162	45
184	163	44
185	163	43
186	163	42
187	164	41
188	164	40
189	165	39
190	165	38
191	165	37
192	166	37
193	166	36
194	166	35
195	167	34
196	167	33
197	168	32
198	168	31
199	168	30
200	169	29
201	169	28
202	170	27
203	170	26
204	170	25
205	171	24
206	171	24
207	171	23
208	172	22
209	172	21
210	173	20
211	173	19
212	173	18
213	174	17
214	174	17
215	175	16
216	175	15
217	176	14
218	176	13
219	176	12
220	177	12
221	177	11
222	177	10
223	178	9
224	179	8
225	179	7
226	180	7
227	180	6
228	181	5
229	181	4
230	181	3
231	182	3
232	182	2
233	183	1
234	183	0
235	184	0
